OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:33:03.5933129+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:33:03.6039426+00:00	Process	meta-orchestration	23968
2026-06-03T18:33:03.6043684+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T18:33:03.6046835+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T18:33:03.6049770+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T18:33:03.6051682+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T18:33:03.6147908+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T18:33:03.6165701+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:33:03.7086870+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:33:03.7224004+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:33:03.7986282+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T18:33:03.8021228+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T18:33:03.8674683+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T18:33:03.9708698+00:00	WorkerStarted	ExtractSeed01	30624
2026-06-03T18:33:03.9712228+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-22716b7256ad4419a2ead97b88be96dc
2026-06-03T18:33:03.9715932+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed01-30624.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed01-30624.stderr.log
2026-06-03T18:33:03.9774537+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T18:33:04.0714881+00:00	WorkerStarted	ExtractSeed02	21612
2026-06-03T18:33:04.0718324+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-93847b0d83034cadb965ee93d05a6f63
2026-06-03T18:33:04.0722213+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed02-21612.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed02-21612.stderr.log
2026-06-03T18:33:04.0753079+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:04.0857504+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T18:33:04.1785716+00:00	WorkerStarted	ExtractSeed03	19820
2026-06-03T18:33:04.1794068+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-5061e91c63114902a3be0eea12ab6830
2026-06-03T18:33:04.1799075+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed03-19820.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed03-19820.stderr.log
2026-06-03T18:33:04.1810634+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:04.1895882+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T18:33:04.1906474+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:04.1915330+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T18:33:04.2895184+00:00	WorkerStarted	ExtractSeed04	26960
2026-06-03T18:33:04.2898850+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-2646083bc81741c3ae8892df48903efc
2026-06-03T18:33:04.2902065+00:00	WorkerLog	ExtractSeed04	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed04-26960.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed04-26960.stderr.log
2026-06-03T18:33:04.2906293+00:00	WorkerEvent	ExtractSeed02	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:04.2915453+00:00	StartPipeline	ExtractSeed02	ExtractSeed02
2026-06-03T18:33:04.2922499+00:00	WorkerEvent	ExtractSeed03	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:04.2932951+00:00	WorkerStarting	ExtractSeed05	meta-pipeline
2026-06-03T18:33:04.3984013+00:00	WorkerStarted	ExtractSeed05	31496
2026-06-03T18:33:04.3990806+00:00	WorkerControlPipe	ExtractSeed05	meta-orchestration-85950462e79645c691d18fadc5778167
2026-06-03T18:33:04.3994460+00:00	WorkerLog	ExtractSeed05	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed05-31496.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed05-31496.stderr.log
2026-06-03T18:33:04.4008825+00:00	WorkerEvent	ExtractSeed03	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:04.4022533+00:00	StartPipeline	ExtractSeed03	ExtractSeed03
2026-06-03T18:33:04.4032919+00:00	WorkerEvent	ExtractSeed04	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:04.4045295+00:00	WorkerStarting	ExtractSeed06	meta-pipeline
2026-06-03T18:33:05.4119156+00:00	WorkerStarted	ExtractSeed06	30452
2026-06-03T18:33:05.4124213+00:00	WorkerControlPipe	ExtractSeed06	meta-orchestration-0e700ba0b0b742a88db65fb0179c0bd3
2026-06-03T18:33:05.4128344+00:00	WorkerLog	ExtractSeed06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed06-30452.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed06-30452.stderr.log
2026-06-03T18:33:05.4132310+00:00	WorkerEvent	ExtractSeed04	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:05.4142452+00:00	StartPipeline	ExtractSeed04	ExtractSeed04
2026-06-03T18:33:05.4151081+00:00	WorkerEvent	ExtractSeed01	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:05.4160931+00:00	WorkerEvent	ExtractSeed02	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:05.4167093+00:00	WorkerEvent	ExtractSeed03	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:05.4173901+00:00	WorkerEvent	ExtractSeed05	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:05.4180765+00:00	WorkerEvent	ExtractSeed06	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:05.4191355+00:00	WorkerStarting	ExtractSeed07	meta-pipeline
2026-06-03T18:33:06.4322103+00:00	WorkerStarted	ExtractSeed07	25012
2026-06-03T18:33:06.4328519+00:00	WorkerControlPipe	ExtractSeed07	meta-orchestration-9c30ec9964e84101ab2b0b1cfcb19330
2026-06-03T18:33:06.4331107+00:00	WorkerLog	ExtractSeed07	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed07-25012.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed07-25012.stderr.log
2026-06-03T18:33:06.4338453+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskReady; ExitCode=0; 
2026-06-03T18:33:06.4370206+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskReady; ExitCode=0; 
2026-06-03T18:33:06.4375228+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskReady; ExitCode=0; 
2026-06-03T18:33:06.4380339+00:00	WorkerEvent	ExtractSeed05	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:06.4388583+00:00	StartPipeline	ExtractSeed05	ExtractSeed05
2026-06-03T18:33:06.4393779+00:00	WorkerEvent	ExtractSeed04	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:06.4399649+00:00	WorkerEvent	ExtractSeed06	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:06.4406064+00:00	StartPipeline	ExtractSeed06	ExtractSeed06
2026-06-03T18:33:06.4410553+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskReady; ExitCode=0; 
2026-06-03T18:33:06.4418167+00:00	WorkerEvent	ExtractSeed07	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:06.4501563+00:00	GrantTask	ExtractSeed01.extract-seed-01	ExtractSeed01.extract-seed-01; GrantId=grant-1; Attempt=1
2026-06-03T18:33:06.4505609+00:00	GrantTask	ExtractSeed02.extract-seed-02	ExtractSeed02.extract-seed-02; GrantId=grant-2; Attempt=1
2026-06-03T18:33:06.4509757+00:00	GrantTask	ExtractSeed03.extract-seed-03	ExtractSeed03.extract-seed-03; GrantId=grant-3; Attempt=1
2026-06-03T18:33:06.4514031+00:00	GrantTask	ExtractSeed04.extract-seed-04	ExtractSeed04.extract-seed-04; GrantId=grant-4; Attempt=1
2026-06-03T18:33:06.4516447+00:00	WorkerStarting	ExtractSeed08	meta-pipeline
2026-06-03T18:33:07.4477597+00:00	WorkerStarted	ExtractSeed08	7964
2026-06-03T18:33:07.4505990+00:00	WorkerControlPipe	ExtractSeed08	meta-orchestration-c2bd6a1d5ced4e0294af509f1788cef3
2026-06-03T18:33:07.4510243+00:00	WorkerLog	ExtractSeed08	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed08-7964.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\ExtractSeed08-7964.stderr.log
2026-06-03T18:33:07.4515439+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:07.4534351+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:07.4542179+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:07.4548182+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:07.4554852+00:00	WorkerEvent	ExtractSeed07	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:07.4562612+00:00	StartPipeline	ExtractSeed07	ExtractSeed07
2026-06-03T18:33:07.4570201+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskStarted; ExitCode=0; 
2026-06-03T18:33:07.4585230+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskStarted; ExitCode=0; 
2026-06-03T18:33:07.4591059+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskStarted; ExitCode=0; 
2026-06-03T18:33:07.4599116+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskStarted; ExitCode=0; 
2026-06-03T18:33:07.4609323+00:00	WorkerEvent	ExtractSeed05	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:07.4619720+00:00	WorkerEvent	ExtractSeed06	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:07.4627137+00:00	WorkerEvent	ExtractSeed08	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:07.4654774+00:00	WorkerStarting	AuditHairball	meta-pipeline
2026-06-03T18:33:07.9201341+00:00	WorkerStarted	AuditHairball	6540
2026-06-03T18:33:07.9205970+00:00	WorkerControlPipe	AuditHairball	meta-orchestration-a4e8c43bd8f74ee9979bca7fdb7f3d7a
2026-06-03T18:33:07.9209198+00:00	WorkerLog	AuditHairball	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\AuditHairball-6540.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\AuditHairball-6540.stderr.log
2026-06-03T18:33:07.9216399+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskSucceeded; ExitCode=0; 
2026-06-03T18:33:07.9274350+00:00	TaskSucceeded	ExtractSeed01.extract-seed-01	0
2026-06-03T18:33:07.9279059+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskSucceeded; ExitCode=0; 
2026-06-03T18:33:07.9287066+00:00	TaskSucceeded	ExtractSeed02.extract-seed-02	0
2026-06-03T18:33:07.9291577+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskSucceeded; ExitCode=0; 
2026-06-03T18:33:07.9298445+00:00	TaskSucceeded	ExtractSeed03.extract-seed-03	0
2026-06-03T18:33:07.9301664+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskSucceeded; ExitCode=0; 
2026-06-03T18:33:07.9307030+00:00	TaskSucceeded	ExtractSeed04.extract-seed-04	0
2026-06-03T18:33:07.9310238+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskReady; ExitCode=0; 
2026-06-03T18:33:07.9315847+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskReady; ExitCode=0; 
2026-06-03T18:33:07.9322096+00:00	WorkerEvent	ExtractSeed08	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:07.9329628+00:00	StartPipeline	ExtractSeed08	ExtractSeed08
2026-06-03T18:33:07.9336509+00:00	WorkerEvent	AuditHairball	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:07.9361028+00:00	WorkerProcessExited	ExtractSeed01	ExitCode=0; worker process exited
2026-06-03T18:33:07.9451228+00:00	PipelineCompleted	ExtractSeed01	
2026-06-03T18:33:07.9456627+00:00	WorkerEvent	AuditHairball	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:07.9464279+00:00	StartPipeline	AuditHairball	AuditHairball
2026-06-03T18:33:07.9470900+00:00	WorkerProcessExited	ExtractSeed02	ExitCode=0; worker process exited
2026-06-03T18:33:07.9477022+00:00	PipelineCompleted	ExtractSeed02	
2026-06-03T18:33:07.9480538+00:00	WorkerProcessExited	ExtractSeed03	ExitCode=0; worker process exited
2026-06-03T18:33:07.9486283+00:00	PipelineCompleted	ExtractSeed03	
2026-06-03T18:33:07.9490320+00:00	WorkerProcessExited	ExtractSeed04	ExitCode=0; worker process exited
2026-06-03T18:33:07.9496487+00:00	PipelineCompleted	ExtractSeed04	
2026-06-03T18:33:07.9518456+00:00	GrantTask	ExtractSeed05.extract-seed-05	ExtractSeed05.extract-seed-05; GrantId=grant-5; Attempt=1
2026-06-03T18:33:07.9524749+00:00	GrantTask	ExtractSeed06.extract-seed-06	ExtractSeed06.extract-seed-06; GrantId=grant-6; Attempt=1
2026-06-03T18:33:07.9528649+00:00	WorkerStarting	BridgeL01L02	meta-pipeline
2026-06-03T18:33:08.0538056+00:00	WorkerStarted	BridgeL01L02	3780
2026-06-03T18:33:08.0542508+00:00	WorkerControlPipe	BridgeL01L02	meta-orchestration-a634411a548c49d9af62aae4f94aba11
2026-06-03T18:33:08.0547496+00:00	WorkerLog	BridgeL01L02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL01L02-3780.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL01L02-3780.stderr.log
2026-06-03T18:33:08.0553121+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:08.0565641+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:08.0573506+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskStarted; ExitCode=0; 
2026-06-03T18:33:08.0582742+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskStarted; ExitCode=0; 
2026-06-03T18:33:08.0589659+00:00	WorkerEvent	ExtractSeed07	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:08.0623780+00:00	WorkerStarting	BridgeL03L04	meta-pipeline
2026-06-03T18:33:08.2015030+00:00	WorkerStarted	BridgeL03L04	24496
2026-06-03T18:33:08.2020346+00:00	WorkerControlPipe	BridgeL03L04	meta-orchestration-09f6ae2b8dbd40acab0bae3a97d2c31d
2026-06-03T18:33:08.2024409+00:00	WorkerLog	BridgeL03L04	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL03L04-24496.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL03L04-24496.stderr.log
2026-06-03T18:33:08.2029436+00:00	WorkerEvent	BridgeL01L02	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:08.2037713+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	TaskReady; ExitCode=0; 
2026-06-03T18:33:08.2044526+00:00	WorkerEvent	BridgeL01L02	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:08.2113654+00:00	StartPipeline	BridgeL01L02	BridgeL01L02
2026-06-03T18:33:08.2173498+00:00	GrantTask	ExtractSeed07.extract-seed-07	ExtractSeed07.extract-seed-07; GrantId=grant-7; Attempt=1
2026-06-03T18:33:08.2178589+00:00	WorkerStarting	BridgeL05L06	meta-pipeline
2026-06-03T18:33:08.6481827+00:00	WorkerStarted	BridgeL05L06	8152
2026-06-03T18:33:08.6486481+00:00	WorkerControlPipe	BridgeL05L06	meta-orchestration-d53cd40461e249fca6483833c7f2331c
2026-06-03T18:33:08.6489568+00:00	WorkerLog	BridgeL05L06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL05L06-8152.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL05L06-8152.stderr.log
2026-06-03T18:33:08.6494152+00:00	WorkerEvent	BridgeL03L04	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:08.6502950+00:00	WorkerEvent	BridgeL05L06	WorkerOnline; ExitCode=0; online
2026-06-03T18:33:08.6509409+00:00	WorkerEvent	BridgeL03L04	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:08.6553433+00:00	StartPipeline	BridgeL03L04	BridgeL03L04
2026-06-03T18:33:08.6562851+00:00	WorkerEvent	BridgeL05L06	WorkerReady; ExitCode=0; ready
2026-06-03T18:33:08.6572181+00:00	StartPipeline	BridgeL05L06	BridgeL05L06
2026-06-03T18:33:08.6578299+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskSucceeded; ExitCode=0; 
2026-06-03T18:33:08.6584144+00:00	TaskSucceeded	ExtractSeed05.extract-seed-05	0
2026-06-03T18:33:08.6588049+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskSucceeded; ExitCode=0; 
2026-06-03T18:33:08.6595647+00:00	TaskSucceeded	ExtractSeed06.extract-seed-06	0
2026-06-03T18:33:08.6602181+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	GrantAccepted; ExitCode=0; 
2026-06-03T18:33:08.6609105+00:00	WorkerEvent	AuditHairball	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:08.6615917+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	TaskStarted; ExitCode=0; 
2026-06-03T18:33:08.6622097+00:00	WorkerEvent	AuditHairball.audit-hairball	TaskReady; ExitCode=0; 
2026-06-03T18:33:08.6628839+00:00	WorkerProcessExited	ExtractSeed05	ExitCode=0; worker process exited
2026-06-03T18:33:08.6637450+00:00	PipelineCompleted	ExtractSeed05	
2026-06-03T18:33:08.6641084+00:00	WorkerProcessExited	ExtractSeed06	ExitCode=0; worker process exited
2026-06-03T18:33:08.6649026+00:00	PipelineCompleted	ExtractSeed06	
2026-06-03T18:33:08.6665184+00:00	WorkerStarting	BridgeL07L08	meta-pipeline
2026-06-03T18:33:08.7796306+00:00	WorkerStarted	BridgeL07L08	30940
2026-06-03T18:33:08.7800573+00:00	WorkerControlPipe	BridgeL07L08	meta-orchestration-50e39a88b44048238b45f1e953874b6d
2026-06-03T18:33:08.7803713+00:00	WorkerLog	BridgeL07L08	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL07L08-30940.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183303_2d830a7422d34edfb67c3121c397d5c0\logs\BridgeL07L08-30940.stderr.log
2026-06-03T18:33:08.7807675+00:00	WorkerEvent	ExtractSeed08	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:33:08.7827462+00:00	WorkerStarting	CompositeMart	meta-pipeline
2026-06-03T18:33:09.0931033+00:00	WorkerStarted	CompositeMart	20060
2026-06-03T18:33:09.0936967+00:00	WorkerControlPipe	CompositeMart	meta-orchestration-ca034fc82b494e119d4249ce2b9a35da
